bloc,mode,MAE,MAE_réf,gain_global,lo_global,hi_global,lob_global,p_global,n_global,verdict_global,gain_froid,lo_froid,hi_froid,lob_froid,p_froid,n_froid,verdict_froid,gain_grand_froid,lo_grand_froid,hi_grand_froid,lob_grand_froid,p_grand_froid,n_grand_froid,verdict_grand_froid
dyn,oracle,866.4293446059161,881.0198264050127,1.6552525001292502,0.3152167739531936,2.8764023437768707,-0.18667681787647572,0.01,2070,🟡,4.242691115442747,-0.7621293349061438,9.026614690628435,-1.875579283226202,0.0455,103,⚪,15.200912914737744,7.998707123139787,23.309444379384846,6.988861676590852,0.0,12,✅
dyn,fc_debiased,852.9689071161048,872.4757869098014,2.235943444895563,0.049406398115327245,4.4716714552242935,-0.5763605615210717,0.0225,731,🟡,0.36805040677594125,-5.668745767002578,7.239086829297918,-7.365271314266891,0.481,35,⚪,19.53200043084705,,,,,4,n/a
astro,oracle,866.4293446059161,869.8888169382099,0.3954652191317246,-0.8356704993052304,1.584279973432855,-1.2311233784081228,0.278,2070,⚪,-0.847521819156304,-5.608360893550172,4.002126847853973,-7.110990836668656,0.63,103,⚪,7.617320818059051,-2.669449413689692,16.352521139861334,-2.969381076383512,0.0475,12,⚪
astro,fc_debiased,852.9689071161048,855.7150518389687,0.31911514061048685,-1.9795912915155023,2.6057059953308004,-2.811202335399352,0.3895,731,⚪,-3.5405054803112117,-10.585166484102928,4.704794848835195,-12.862049836746504,0.8065,35,⚪,11.561161435929256,,,,,4,n/a
cal,oracle,866.4293446059161,871.6856084448908,0.6027348609018597,-0.8092836559804966,1.9665742107016675,-1.2389978191321445,0.208,2070,⚪,-0.5515827896403576,-7.01000677550532,5.636115849788745,-8.911304677851437,0.5695,103,⚪,1.4848602869935241,-7.491485264198062,12.154156478382303,-9.58156087816921,0.365,12,⚪
cal,fc_debiased,852.9689071161048,874.7434539278129,2.492688727226233,0.42804360451997314,4.631902931504974,-0.5061247932361851,0.0115,731,🟡,-5.928844351081437,-10.324726303335476,-0.06951446170691741,-11.063219983566515,0.977,35,❌,7.17113436671947,,,,,4,n/a
nowcast,oracle,866.4293446059161,895.8738483159334,3.2857885977143795,1.473478429676098,4.98431441476685,0.7915790392675145,0.001,2070,✅,1.3399523776407347,-4.97589905891919,6.3516874871152575,-6.680120251182923,0.3255,103,⚪,5.581870404108185,-1.6010147590733663,11.258018644921657,-3.397675196603176,0.056,12,⚪
nowcast,fc_debiased,852.9689071161048,894.6603093394675,4.660552152729251,1.7584120892458108,7.408126806371975,0.9125219214818737,0.0005,731,✅,6.934814993857806,0.6792357744017878,13.904057216194106,-1.7650519078010911,0.015,35,🟡,16.64104257759959,,,,,4,n/a
spatial_hdd,oracle,866.4293446059161,862.9310646625902,-0.405984880116496,-1.6273596432032769,0.7526494312398413,-2.1626226874506536,0.773,2070,⚪,3.0948202839015284,-1.3262291995970337,7.148689230204126,-2.8360659380502247,0.081,103,⚪,13.571718406227879,4.815482364415674,24.171842195058225,4.380807206380397,0.0,12,✅
spatial_hdd,fc_debiased,852.9689071161048,862.153300721986,1.0675317160245468,-0.8637448590845447,3.099963886784146,-1.6094110762307297,0.14,731,⚪,-1.369466218800837,-5.656356300880762,2.0011182046877165,-6.854926160975298,0.7885,35,⚪,16.71804907513263,,,,,4,n/a
spatial_villes,oracle,866.4293446059161,869.157243571785,0.31298297627041444,-0.9646619958167472,1.5902627091452808,-1.4035323920535934,0.3225,2070,⚪,-1.0750875135621687,-6.675397232303563,4.323978691964218,-9.069825401010837,0.6445,103,⚪,-0.07939891559020294,-7.496642706736774,9.60105745148585,-8.925472643602726,0.5435,12,⚪
spatial_villes,fc_debiased,852.9689071161048,867.1744015658361,1.6401754904818395,-0.2569328878311789,3.517270389491812,-1.0745928837337242,0.045,731,⚪,-2.363227795354657,-10.135344034003936,4.080762319122409,-13.089150828481626,0.726,35,⚪,1.0769955467984036,,,,,4,n/a
