modèle,MAE_MW,RMSE_MW,biais_MW,MAE_<0C,n,n_<0C,fold,variante
baseline_fold1,858.9809685266029,1173.6040057488738,33.41656168205728,1229.8490844993298,17520,208,1,baseline
froid_fold1,828.9576538155251,1127.6875731528753,23.683476628978926,1233.4459990021744,17520,208,1,froid
spatial_fold1,1218.031109727596,1706.0880979725973,-31.439282733379606,1491.712238442042,17520,208,1,spatial
froid_spatial_fold1,1142.3139041630518,1598.4121736147217,-81.7869714109208,1257.5852451285564,17520,208,1,froid_spatial
baseline_fold2,881.4468505120926,1237.233076877006,-33.03226626781232,2547.405163597784,17568,272,2,baseline
froid_fold2,833.2994189539455,1178.0161280571087,-13.1090809829054,2488.993465063277,17568,272,2,froid
spatial_fold2,1077.6818890990778,1595.8554404213412,-118.3715023053404,3587.168453972809,17568,272,2,spatial
froid_spatial_fold2,1060.4370165535245,1564.8954521916278,-194.13428383698647,3845.0835499760774,17568,272,2,froid_spatial
baseline_fold3,906.4045571863073,1237.3052042760175,-140.93109697931828,1543.1629567552304,26206,381,3,baseline
froid_fold3,874.1372039544663,1194.338471637442,-135.46331199424029,1437.1629802347052,26206,381,3,froid
spatial_fold3,1069.4202863564392,1494.9900949257549,-60.93799535029022,1653.5530458016397,26206,381,3,spatial
froid_spatial_fold3,1045.077001496748,1459.5802645723982,-65.74912032430169,1762.6743223072758,26206,381,3,froid_spatial
