variante,MAE,MAE_réf,gain_global,lo_global,hi_global,lob_global,p_global,n_global,verdict_global,gain_froid,lo_froid,hi_froid,lob_froid,p_froid,n_froid,verdict_froid,gain_grand_froid,lo_grand_froid,hi_grand_froid,lob_grand_froid,p_grand_froid,n_grand_froid,verdict_grand_froid,mode
m_obj_l1,876.602699366514,866.4293446059161,-1.1739800579413284,-2.8082229036507798,0.39812112285868373,-3.375632795008876,0.9215,2070,⚪,0.8672627844071468,-6.4485805294401874,7.665934639838066,-9.512679255058856,0.3925,103,⚪,-4.456296359444785,-22.045568697590788,7.550713341956923,-27.806188490280736,0.723,12,⚪,oracle
m_obj_huber,900.5149843888083,866.4293446059161,-3.9334171189968465,-5.730490970750378,-2.087953021925046,-6.359411831607777,1.0,2070,❌,-8.679059701409276,-15.425404801966126,-0.835847491026526,-17.564611054294133,0.9845,103,❌,-22.14982947919607,-33.205513417134505,-7.478811741935368,-36.178531780105125,1.0,12,❌,oracle
m_linear_tree,833.0463210304245,866.4293446059161,3.8504863379516774,-1.0601901584055975,7.151617467038634,-3.28096819764634,0.0485,2070,⚪,-21.29086017712127,-73.29357109172072,11.163849789792591,-99.90247189019553,0.793,103,⚪,6.709088674424146,-18.844732970782076,25.634212305313063,-21.459412053201394,0.2785,12,⚪,oracle
m_mono_hdd,860.3809506539773,866.4293446059161,0.6962045618149666,-0.11972900274851137,1.5849602711092592,-0.45264157457104837,0.047,2070,⚪,0.8597821457542731,-2.966667801818106,4.478915122028615,-4.42463188024864,0.339,103,⚪,1.6670482042281471,-4.734142271891986,6.631416812727388,-6.168240610045979,0.249,12,⚪,oracle
m_ff05,856.4655755047395,866.4293446059161,1.1497906209842037,-0.15390407842374232,2.5584354013792394,-0.8698955285916694,0.046,2070,⚪,-2.922018566712537,-8.837018932515441,2.8604003067159383,-11.368440442396023,0.8275,103,⚪,-10.96987416595608,-28.445237726742832,1.657669670192705,-34.180006961060016,0.9075,12,⚪,oracle
m_leaves31,875.8694077643995,866.4293446059161,-1.0901032022796113,-2.223419000814758,0.04122179736897482,-2.7085538165519276,0.9685,2070,⚪,0.006370318394635226,-6.4439787903344135,5.941851788151342,-9.036425975778034,0.5045,103,⚪,-4.434508567584335,-20.9467771758281,5.81523486712657,-22.83426563775944,0.762,12,⚪,oracle
m_hl3,862.6183527308134,866.4293446059161,0.44091873763798173,-0.8511749920676189,1.7844180481590977,-1.3010142693427413,0.23,2070,⚪,0.902013250915683,-4.614069908031786,6.182886888624778,-6.735018914953034,0.355,103,⚪,1.5071529726492965,-10.007976142025285,12.620930581927652,-10.926487676289312,0.3765,12,⚪,oracle
m_seed_avg3,822.6790524610695,866.4293446059161,5.0490676672023636,4.3963203134509765,5.778879958957725,4.162019803673577,0.0,2070,✅,1.7459733607986958,-1.0467277262530013,4.841490737265779,-1.8363257860332571,0.106,103,⚪,-5.004813755418983,-8.157638829888022,-2.417551381298208,-8.720129830160783,1.0,12,❌,oracle
m_obj_l1,868.783284483714,852.9689071161048,-1.854649635085876,-4.609784745154346,0.9869997649849582,-6.005132629774629,0.9105,731,⚪,9.552954476714866,3.434598843195097,14.335802351474408,0.8946113116175266,0.0015,35,✅,-0.24952743922592024,,,,,4,n/a,fc_debiased
m_obj_huber,879.8226247662133,852.9689071161048,-3.147542306665389,-6.127183080457676,-0.20764604716412038,-7.68808273444311,0.982,731,❌,0.18755000561730645,-6.115875795453774,8.54067673553324,-8.055175977424462,0.461,35,⚪,-32.97110789897814,,,,,4,n/a,fc_debiased
m_linear_tree,797.455122519282,852.9689071161048,6.5100613665321365,3.628666918878285,9.51749395692432,2.5588920295922253,0.0,731,✅,15.59632046717676,0.5448209825137194,28.202148988614745,-3.550638687208932,0.021,35,🟡,35.33347009831911,,,,,4,n/a,fc_debiased
m_mono_hdd,847.6089625730033,852.9689071161048,0.6253196050571039,-0.9460980017423009,2.2094380805986487,-1.6246088590523018,0.229,731,⚪,3.364189620026929,-2.1185257610924104,8.978935972599347,-3.2011368308465302,0.1725,35,⚪,7.745751275206503,,,,,4,n/a,fc_debiased
m_ff05,828.3733505828121,852.9689071161048,2.8822610223191534,0.7086139715053914,5.05326404160433,-0.13536794844569255,0.0035,731,🟡,0.14056103795529215,-6.95483942859244,7.878852259071848,-10.607797511318005,0.4965,35,⚪,-20.264548035225758,,,,,4,n/a,fc_debiased
m_leaves31,865.9147171841698,852.9689071161048,-1.5217007853590505,-3.8639680546346344,0.9311898139057124,-4.762022604818208,0.894,731,⚪,4.742111235161025,-3.086684350076535,12.313425503041135,-4.911630254848918,0.151,35,⚪,2.430294094947897,,,,,4,n/a,fc_debiased
m_hl3,840.6792527972609,852.9689071161048,1.4410749007551644,-1.039598279131639,3.763900437030114,-2.0750224990100894,0.119,731,⚪,2.3912542782396518,-5.192896869196071,8.109771908500461,-9.017740303688333,0.24,35,⚪,-11.290531040471475,,,,,4,n/a,fc_debiased
m_seed_avg3,822.6979222858722,852.9689071161048,3.548771881773987,2.309134005560283,4.69135211137252,1.792828341705822,0.0,731,✅,-0.9804028503914912,-3.1592389160940826,0.6964658194465669,-3.8025755648831576,0.837,35,⚪,-5.961487192471019,,,,,4,n/a,fc_debiased
